"","CausalType","CountType","N","A","B","Reps","simes.asym","fisher.asym","hmp.asym","simes.perm","fisher.perm","hmp.perm"
"8",1,1,50,0,0,2000,0.021,0.0015,0.0185,0.0275,0.001,0.0265
"16",1,2,50,0,0,1999,0.0225,0.003,0.021,0.0285,0.0015,0.026
"7",1,1,50,0,0.5,2000,0.02,0.006,0.02,0.0285,0.004,0.0265
"15",1,2,50,0,0.5,2000,0.023,0.0045,0.021,0.0265,0.002,0.0245
"22",2,1,50,0,0.5,2000,0.0245,0.0075,0.0245,0.03,0.005,0.031
"28",2,2,50,0,0.5,2000,0.024,0.009,0.023,0.0285,0.0055,0.029
"6",1,1,50,0.5,0,2000,0.0215,0.002,0.022,0.0305,0.001,0.03
"14",1,2,50,0.5,0,2000,0.0215,0.003,0.0215,0.029,0.0015,0.028
"21",2,1,50,0.5,0,2000,0.0395,0.004,0.0345,0.047,0.0025,0.0435
"27",2,2,50,0.5,0,2000,0.0385,0.004,0.0355,0.0455,0.002,0.0415
"5",1,1,50,0.5,0.5,2000,0.5175,0.1035,0.517,0.5355,0.0985,0.5335
"13",1,2,50,0.5,0.5,2000,0.451,0.081,0.448,0.4755,0.0765,0.47
"20",2,1,50,0.5,0.5,2000,0.7015,0.2545,0.705,0.723,0.2475,0.727
"26",2,2,50,0.5,0.5,2000,0.64,0.209,0.643,0.666,0.1995,0.6655
"4",1,1,200,0,0,2000,0.0255,0.0015,0.0235,0.027,0.0015,0.027
"12",1,2,200,0,0,2000,0.025,0.002,0.0235,0.027,0.0015,0.0235
"3",1,1,200,0,0.5,2000,0.0355,0.008,0.0335,0.0385,0.0065,0.035
"11",1,2,200,0,0.5,2000,0.033,0.0085,0.031,0.0365,0.008,0.034
"19",2,1,200,0,0.5,2000,0.04,0.0145,0.039,0.044,0.011,0.042
"25",2,2,200,0,0.5,2000,0.043,0.0165,0.042,0.044,0.013,0.041
"2",1,1,200,0.5,0,2000,0.0325,0.005,0.0295,0.035,0.0055,0.033
"10",1,2,200,0.5,0,2000,0.033,0.0045,0.03,0.0365,0.0045,0.035
"18",2,1,200,0.5,0,2000,0.0365,0.0045,0.034,0.04,0.005,0.038
"24",2,2,200,0.5,0,2000,0.0365,0.004,0.034,0.0395,0.0035,0.037
"1",1,1,200,0.5,0.5,2000,0.809,0.4915,0.8075,0.8115,0.405,0.8125
"9",1,2,200,0.5,0.5,1999,0.7809,0.4422,0.7804,0.7834,0.3697,0.7829
"17",2,1,200,0.5,0.5,2000,0.9625,0.842,0.963,0.9635,0.8035,0.965
"23",2,2,200,0.5,0.5,2000,0.947,0.803,0.948,0.9475,0.7585,0.95
