"CountType","CausalType","N","A","B","hmp.asym","hmp.perm"
0.1,1,50,0,0,0.0185,0.0265
0.5,1,50,0,0,0.0195,0.028
1,1,50,0,0,0.021,0.026
0.1,1,50,0,0.5,0.02,0.0265
0.5,1,50,0,0.5,0.0215,0.025
1,1,50,0,0.5,0.021,0.0245
0.1,1,50,0.5,0,0.022,0.03
0.5,1,50,0.5,0,0.021,0.0285
1,1,50,0.5,0,0.0215,0.028
0.1,1,50,0.5,0.5,0.517,0.5335
0.5,1,50,0.5,0.5,0.468,0.495
1,1,50,0.5,0.5,0.448,0.47
0.1,1,200,0,0,0.0235,0.027
0.5,1,200,0,0,0.0225,0.0245
1,1,200,0,0,0.0235,0.0235
0.1,1,200,0,0.5,0.0335,0.035
0.5,1,200,0,0.5,0.0325,0.034
1,1,200,0,0.5,0.031,0.034
0.1,1,200,0.5,0,0.0295,0.033
0.5,1,200,0.5,0,0.03,0.032
1,1,200,0.5,0,0.03,0.035
0.1,1,200,0.5,0.5,0.8075,0.8125
0.5,1,200,0.5,0.5,0.7905,0.794
1,1,200,0.5,0.5,0.7804,0.7829
0.1,2,50,0,0.5,0.0245,0.031
0.5,2,50,0,0.5,0.024,0.028
1,2,50,0,0.5,0.023,0.029
0.1,2,50,0.5,0,0.0345,0.0435
0.5,2,50,0.5,0,0.036,0.042
1,2,50,0.5,0,0.0355,0.0415
0.1,2,50,0.5,0.5,0.705,0.727
0.5,2,50,0.5,0.5,0.664,0.6825
1,2,50,0.5,0.5,0.643,0.6655
0.1,2,200,0,0.5,0.039,0.042
0.5,2,200,0,0.5,0.0395,0.0425
1,2,200,0,0.5,0.042,0.041
0.1,2,200,0.5,0,0.034,0.038
0.5,2,200,0.5,0,0.035,0.0365
1,2,200,0.5,0,0.034,0.037
0.1,2,200,0.5,0.5,0.963,0.965
0.5,2,200,0.5,0.5,0.954,0.9545
1,2,200,0.5,0.5,0.948,0.95
